Browse	Procházet
For ordered lists, select the value of first item of the list.	Pro seřazené seznamy, vyberte hodnotu první položky v seznamu.
Character:	Znak:
Select...	Vybrat...
Select the character for the unordered list.	Vyberte znak pro neseřazený seznam.
Select image...	Vybrat obrázek...
Select a graphic bullet.	Vyberte grafickou odrážku.
Before:	Před:
After:	Za:
Enter the text to display after the numbering.	Zadejte text, který se má zobrazit po číslování.
Enter the text to display before the numbering.	Zadejte text, který se má zobrazit před číslováním.
Height:	Výška:
 Enter the width of the graphic bullet character. 	 Zadejte šířku znaku grafické odrážky. 
 Enter the height of the graphic bullet character. 	 Zadejte výšku znaku grafické odrážky. 
100	100
Rel. size:	Rel. velikost:
Keep ratio	Zachovat poměr
Size	Velikost
Indent:	Odsazení:
0.00	
 Enter or select the width of the list element. 	 Zadejte nebo vyberte šířku prvku seznamu. 
Relative	Relativní
Align bullet on the center of the list element.	Zarovná odrážku na střed prvku seznamu.
Align bullet on the left of the list element.	Zarovná odrážku vlevo od položky seznamu.
Align bullet on the right of the list element.	Zarovná odrážku vpravo od prvku seznamu.
Alignment:	Zarovnání:
Slide	Snímek
Applies the modification to the whole slide or page.	Použije změnu na celý snímek nebo stránku.
Selection	Výběr
Applies the modification to the selection.	Použije změnu na výběr.
Apply to Master	Použít na předlohu
Scope	Rozsah
Preview	Náhled
Position and Size	Umístění a velikost
Callout	Bublina
Extension:	Rozšíření:
Optimal	Optimální
From top	Shora
From left	Zleva
Horizontal	Vodorovné
Vertical	Svislé
Length:	Délka:
Click here to display a single-angled line in an optimal way.	Klepněte zde pro zobrazení jednou zakřivené čáry optimálním způsobem.
By:	O:
Middle	Uprostřed
Center	Uprostřed
Spacing:	Vzdálenost:
Straight Line	Přímka
Angled Line	Křivka
Angled Connector Line	Zakřivená spojnice
Degrees:	Stupně:
Reference edge:	Základna:
Specify the cell edge from which to write the rotated text.	Určuje okraj buňky, od kterého se má psát otočený text.
Text direction vertically.	Svislý směr textu.
Asian layout mode	Režim asijského rozvržení
Click in the dial to set the text orientation.	Klepnutím do kruhu nastavíte orientaci textu.
Wrap text automatically	Automaticky zalomit text
Shrink to fit cell size	Zmenšit podle velikosti buňky
Hyphenation active	Dělení slov aktivní
Enables word hyphenation for text wrapping to the next line.	Zapne dělení slov při zalomení řádku.
Indents from the left edge of the cell by the amount that you enter.	Odsazení od levého okraje buňky o zadanou hodnotu.
Horizontal:	Vodorovné:
Vertical:	Svislé:
Justified	Do bloku
Filled	Vyplněné
Distributed	Rozprostřené
Top	Nahoru
Middle	Na střed
Bottom	Dolů
Text Alignment	Zarovnání textu
Text Extension From Lower Cell Border	Text vychází z dolního okraje buňky
Text Extension From Upper Cell Border	Text vychází z horního okraje buňky
Text Extension Inside Cell	Text zůstane uvnitř buňky
Certificate Path	Cesta pro certifikáty
Select NSS path...	Vybrat cestu k NSS...
manual	ručně
Select a Certificate directory	Vybrat adresář pro certifikáty
Profile	Profil
Directory	Adresář
Language:	Jazyk:
Select the formatting that you want to apply.	Vyberte formátování, které chcete použít.
Size:	Velikost:
Features...	Vlastnosti...
Select the font that you want to apply.	Vyberte písmo, které chcete použít.
Western	Západní
Asian	Asijské
Complex	Komplexní
Document background	Pozadí dokumentu
Text boundaries	Hranice textu
Text boundaries color	Barva hranic textu
Application background	Pozadí aplikace
Object boundaries	Hranice objektu
Object boundaries color	Barva hranic objektů
Table boundaries	Hranice tabulky
Table boundaries color	Barva hranic tabulek
Font color	Barva písma
Unvisited links	Nenavštívené odkazy
Unvisited links color	Barva nenavštívených odkazů
Visited links	Navštívené odkazy
Visited links color	Barva navštívených odkazů
Spelling mistakes	Pravopisné chyby
Shadows	Stíny
Shadows color	Barva stínů
Field shadings	Stínování polí
Field shadings color	Barva stínování polí
Index and table shadings	Stínování rejstříku a tabulky
Index and table shadings color	Barva stínování rejstříků a tabulek
Script Indicator	Indikátor skriptu
Section boundaries	Hranice sekcí
Section boundaries color	Barva hranic sekcí
Headers and Footer delimiter	Oddělovač záhlaví a zápatí
Page and column breaks	Zalomení stránek a sloupců
Direct Cursor	Přímý kurzor
Grammar mistakes	Gramatické chyby
Text Document	Textový dokument
Grid lines	Čáry mřížky
Page breaks	Zalomení stránky
Manual page breaks	Ruční zalomení stránky
Automatic page breaks	Automatické zalomení stránky
Detective	Detektiv
Detective error	Chyba detektiva
References	Odkazy
Notes background	Pozadí poznámek
Values	Hodnoty
Formulas	Vzorce
Protected cells background	Pozadí zamčených buněk
Hidden columns/rows	Skryté sloupce/řádky
Hidden row/column color	Barva skrytých řádků/sloupců
Text overflow	
Text overflow color	
Drawing / Presentation	Kresba/prezentace
Identifier	Identifikátor
Comment	Komentář
String	Řetězec
Operator	Operátor
Reserved expression	Rezervovaný výraz
Error	Chyba
Editor background	Pozadí editoru
Basic Syntax Highlighting	Zvýraznění syntaxe Basicu
Keyword	Klíčové slovo
Parameter	Parametr
SQL Syntax Highlighting	Zvýraznění SQL syntaxe
SGML syntax highlighting	Zvýraznění SGML syntaxe
Comment highlighting	Zvýraznění komentářů
Keyword highlighting	Zvýraznění klíčových slov
HTML Document	HTML dokument
Palette:	Paleta:
Add color palettes via extension	Další barevné palety přidáte pomocí rozšíření
Recent Colors	Poslední barvy
RGB	RGB
CMYK	CMYK
Custom Palette	Vlastní paleta
Colors	Barvy
Old Color	Původní barva
B	B
G	G
R	R
Hex	HTML
C	C
K	K
Y	Y
M	M
New Color	Nová barva
Blue	Modrá
Red	Červená
Green	Zelená
Pick	Vybrat
New	Nová
Pick a Color	Vyberte barvu
Red:	Červená:
Green:	Zelená:
Blue:	Modrá:
Set the Red color value directly. Allowed values are 0 to 255.	Nastaví hodnotu červené složky přímo. Povolené hodnoty jsou od 0 do 255.
Set the Green color value directly. Allowed values are 0 to 255.	Nastaví hodnotu zelené složky přímo. Povolené hodnoty jsou od 0 do 255.
Set the Blue color value directly. Allowed values are 0 to 255.	Nastaví hodnotu modré složky přímo. Povolené hodnoty jsou od 0 do 255.
Hex #:	HTML:
Hue:	Odstín:
Saturation:	Sytost:
Brightness:	Jas:
HSB	HSB
Cyan:	Azurová:
Magenta:	Magenta:
Yellow:	Žlutá:
Key:	Černá:
Set the Cyan color value as expressed in the CMYK color model.	Nastaví složku azurové barvy v barevném modelu CMYK.
Set the Magenta color value as expressed in the CMYK color model.	Nastaví složku purpurové barvy v barevném modelu CMYK.
Set the Yellow color value as expressed in the CMYK color model.	Nastaví složku žluté barvy v barevném modelu CMYK.
Insert Comment	Vložit komentář
Author	Autor
Enter a comment for the recorded change.	Zadejte komentář k zaznamenané změně.
Insert	Vložit
Edit Comment	Upravit komentář
Contents	Obsah
Lists the types of connectors that are available.	Zobrazí seznam spojnic, které jsou dostupné.
Line 1:	Čára 1:
Line 2:	Čára 2:
Line 3:	Čára 3:
Enter a skew value for Line 1.	Zadejte hodnotu zkosení pro čáru 1.
Enter a skew value for Line 2.	Zadejte hodnotu zkosení pro čáru 2.
Enter a skew value for Line 3.	Zadejte hodnotu zkosení pro čáru 3.
Line Skew	Zkosení čáry
Begin horizontal:	Vodorovný počátek:
End horizontal:	Vodorovný konec:
Begin vertical:	Svislý počátek:
End vertical:	Svislý konec:
Line Spacing	Vzdálenost čar
Example	Příklad
Sets the properties of a connector.	Nastaví vlastnosti spojnic.
Connection pooling enabled	Sdílení spojení povoleno
Specifies whether the chosen connections are pooled.	Určuje, zda jsou spojení sdílená.
Drivers known in %PRODUCTNAME	Ovladače známé v %PRODUCTNAME
Current driver:	Aktuální ovladač:
Enable pooling for this driver	Povolit sdílení pro tento ovladač
Timeout (seconds):	Časový limit (sekundy):
Defines the time in seconds after which a pooled connection is freed.	Nastavte čas v sekundách, po kterém se sdílené spojení uvolní.
Driver name	Název ovladače
Pool	Sdílení
Timeout	Časový limit
Connection Pool	Sdílení spojení
Keep scale	Zachovat měřítko
Keep image size	Zachovat velikost obrázku
Original Size	Původní velikost
Crop	Oříznout
Image Size	Velikost obrázku
URL:	URL:
Frame:	Rámec:
Enter a name for the image.	Zadejte název obrázku.
Text Alternative:	Alternativní text:
Description:	Popis:
Enter a description for the hotspot.	Zadejte popis oblasti.
Lists the properties for the selected hotspot.	Zobrazí vlastnosti vybrané oblasti.
Customize	Přizpůsobit
Menus	Nabídky
Toolbars	Nástrojové lišty
Notebookbar	Lišta karet
Context Menus	Místní nabídky
Keyboard	Klávesnice
Events	Události
Create Database Link	Vytvořit databázový odkaz
Browse...	Procházet...
Opens a file dialog where you can select the database file.	Otevře dialog, ve kterém můžete vybrat databázový soubor.
Database file:	Databázový soubor:
Registered name:	Registrovaný název:
Edit Database Link	Upravit databázový odkaz
Creates or edits an entry in the Databases tab page.	Vytvoří či upraví položku seznamu na kartě Databáze.
Registered name	Registrovaný název
Database file	Databázový soubor
Opens the Database Link dialog to create a new entry.	Otevře dialogové okno Databázový odkaz, ve kterém můžete vytvořit nový záznam.
Removes the selected entry from the list.	Odstraní vybranou položku ze seznamu.
Opens the Database Link dialog to edit the selected entry.	Otevře dialogové okno Databázový odkaz, ve kterém můžete upravit vybraný záznam.
Registered Databases	Zaregistrované databáze
Line distance:	Vzdálenost čáry:
Guide overhang:	Převis vodítka:
Guide distance:	Vzdálenost vodítka:
Left guide:	Levé vodítko:
Right guide:	Pravé vodítko:
Decimal places:	Desetinná místa:
Measure below object	Měřit pod objektem
Reverses the properties set in the Line area.	Obrátí nastavení zadané v poli čára.
Text position	Umístění textu
AutoVertical	Automaticky svisle
Determines the optimal vertical position for the dimension text.	Určí optimální vzdálenost textu nad kótovací čarou.
AutoHorizontal	Automaticky vodorovně
Determines the optimal horizontal position for the dimension text.	Určí optimální vzdálenost textu mezi vodítky kótovací čáry.
Parallel to line	Rovnoběžně s čárou
Show measurement units	Zobrazit měrné jednotky
Edit Custom Dictionary	Upravit vlastní slovník
Specifies the book to be edited.	Určuje knihu, kterou chcete upravit.
Assigns a new language to the current custom dictionary.	Přiřadí aktuálnímu uživatelskému slovníku nový jazyk.
Book:	Kniha:
Word	Slovo
Replace By	Nahradit čím
Removes the marked word from the current custom dictionary.	Odstraní označené slovo z aktuálního uživatelského slovníku.
Edit Modules	Upravit moduly
Get more dictionaries online...	Další slovníky získáte online...
Specifies the language of the module.	Určuje jazyk modulu.
Move Up	Přesunout nahoru
Move Down	Přesunout dolů
Click here to undo the current changes in the list box.	Klepnutím na toto tlačítko zrušíte změny provedené v seznamu.
Case:	Velikost:
Relief:	Reliéf:
(Without)	(Žádné)
UPPERCASE	VELKÁ PÍSMENA
lowercase	malá písmena
Capitalize Every Word	Každé Slovo Velkým Písmenem
Small capitals	Kapitálky
Select the font effects that you want to apply.	Vyberte efekty písma, které chcete použít.
(Without)	(Žádný)
Embossed	Reliéf
Engraved	Rytina
(Without)	(Žádná)
Dot	Tečka
Circle	Kruh
Disc	Disk
Accent	Akcent
Above text	Nad textem
Below text	Pod textem
Specify where to display the emphasis marks.	Určete, kde se mají zobrazit značky zvýraznění.
Emphasis mark:	Značka zvýraznění:
Outline	Obrys
Hidden	Skryté
Hides the selected characters.	Skryje vybrané znaky.
Effects	Efekty
Overlining:	Nadtržení:
Strikethrough:	Přeškrtnutí:
Underlining:	Podtržení:
Single	Jednoduché
Double	Dvojité
Bold	Tučné
Dotted	Tečkovaně
Dotted (Bold)	Tečkovaně (tučně)
Dash	Čárka
Dash (Bold)	Čárka (tučně)
Long Dash	Dlouhá čárka
Long Dash (Bold)	Dlouhá čárka (tučně)
Dot Dash	Čerchovaně
Dot Dash (Bold)	Čerchovaně (tučně)
Dot Dot Dash	Tečka-tečka-čárka
Dot Dot Dash (Bold)	Tečka-tečka-čárka (tučně)
Wave	Vlnka
Wave (Bold)	Vlnka (tučně)
Double Wave	Dvojitá vlnka
With /	Pomocí /
With X	Pomocí X
Select a strikethrough style for the selected text.	Vyberte styl přeškrtnutí vybraného textu.
